O*NET-SOC Code,Title,Alternate Titles,Job Zone,OCC_CODE
11-2011.00,Advertising and Promotions Managers,"Advertising Account Executive (Ad Account Executive), Advertising Account Manager (Ad Account Manager), Advertising Agency Manager (Ad Agency Manager), Advertising Campaign Manager (Ad Campaign Manager), Advertising Coordinator (Ad Coordinator), Advertising Director (Ad Director), Advertising Executive (Ad Executive), Advertising Manager (Ad Manager), Advertising Operations Manager (Ad Operations Manager), Advertising Sales Manager (Ad Sales Manager), Advertising VP (Advertising Vice President), Campaign Director, Campaign Manager, Campaign Program Manager, Classified Advertising Manager (Classified Ad Manager), Digital Advertising Director, Digital Advertising Manager (Digital Ad Manager), Digital Marketing Coordinator, Marketing and Promotions Manager, Marketing Coordinator, Marketing Director, Marketing Manager, Media Director, Media Promoter, Online Advertising Director",4,11-2011
11-2021.00,Marketing Managers,"Digital Marketing Manager, Internet Marketing Manager, Marketing Administrator, Marketing Communications Manager, Marketing Coordinator, Marketing Director, Marketing Executive, Marketing Manager, Marketing Operations Director, Marketing Product Manager, Marketing Sales Supervisor, Media Marketing Director, Product Marketing Manager, Sales and Marketing Director, Sales and Marketing Manager, Sales and Marketing Vice President (Sales and Marketing VP), Sales Marketing Director, Sustainable Products Marketing Manager",4,11-2021
11-2022.00,Sales Managers,"Marketing Sales Supervisor, Sales and Marketing Director, Sales and Marketing Manager, Sales and Marketing Vice President (Sales and Marketing VP)",4,11-2022
11-2032.00,Public Relations Managers,"Campaign Manager, Marketing and Communications Manager, Marketing Communications Manager, Public Relations Director (PR Director), Public Relations Manager (PR Manager), Public Relations Supervisor (PR Supervisor)",4,11-2032
11-2033.00,Fundraising Managers,"Campaign Manager, Fundraising and Marketing Director, Fundraising Campaign Manager",4,11-2033
11-3021.00,Computer and Information Systems Managers,Interactive Media Project Manager,4,11-3021
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Aquaculture Cooperative Marketing Director,4,11-9013
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Athlete Marketing Agent, Film Booker, Media Promoter, Promotional Marketing Agent",4,13-1011
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Media Buyer,4,13-1023
13-1131.00,Fundraisers,"Campaign Fundraiser, Capital Campaign Fundraiser",4,13-1131
13-1161.00,Market Research Analysts and Marketing Specialists,"Advertising Analyst, Digital Marketing Specialist, Email Marketing Processor, Email Marketing Specialist, Marketing Analyst, Marketing Associate, Marketing Consultant, Marketing Forecaster, Marketing Representative, Marketing Research Analyst, Marketing Researcher, Marketing Specialist, Marketing Support Specialist, Social Media Specialist, Technical Marketing Consultant, Technical Marketing Specialist",4,13-1161
13-1161.01,Search Marketing Strategists,"Digital Marketing Strategist, Digital Media Planner, Interactive Marketing Strategist, Interactive Media Marketing Specialist, Interactive Media Marketing Strategist, Internet Marketing Specialist, Internet Marketing Strategist, Internet Media Planner, Marketing Communications Specialist, Marketing Consultant, Marketing Specialist, New Media Strategist, Online Marketing Consultant, Online Marketing Strategist, Paid Search Marketing Strategist, Search Advertising Strategist, Search Engine Marketing Specialist (SEM Specialist), Search Engine Marketing Strategist (SEM Strategist), Search Engineer Marketing Specialist, Search Marketing Analyst, Search Marketing Specialist, Social Media Specialist, Social Media Strategist, Technical Marketing Specialist, Web Marketing Strategist",4,13-1161
15-1242.00,Database Administrators,Picture Archiving and Communication Systems Administrator (PACS Administrator),4,15-1242
15-1252.00,Software Developers,Publishing Systems Analyst,4,15-1252
15-1299.01,Web Administrators,Web Publishing Coordinator,4,15-1299
15-1299.06,Digital Forensics Analysts,"Cyber Digital Media Analyst, Digital Media Analyst",4,15-1299
15-1299.09,Information Technology Project Managers,Interactive Media Project Manager,4,15-1299
15-2051.00,Data Scientists,Marketing Data Scientist,4,15-2051
15-2051.01,Business Intelligence Analysts,Marketing Database Analyst,4,15-2051
17-3029.08,Photonics Technicians,Thin Film Technician (Thin Film Tech),3,17-3029
19-4012.00,Agricultural Technicians,Culture Media Laboratory Assistant (Culture Media Lab Assistant),3,19-4012
19-4021.00,Biological Technicians,Culture Media Laboratory Assistant,4,19-4021
25-2032.00,"Career/Technical Education Teachers, Secondary School","Business and Marketing Teacher, Marketing Education Teacher",4,25-2032
25-4031.00,Library Technicians,"Library Media Technician, Media Center Specialist, Media Specialist",3,25-4031
27-1011.00,Art Directors,Graphic Design and Art Production Manager,4,27-1011
27-1014.00,Special Effects Artists and Animators,"Digital Media Designer, Digital Media Specialist, Interactive Digital Media Specialist, Media Designer, Media Producer, Media Specialist",4,27-1014
27-1024.00,Graphic Designers,"Ad Designer (Advertising Designer), Ad Layout Worker (Advertising Layout Worker), Graphic Design Coordinator, Marketing Graphic Designer",4,27-1024
27-1026.00,Merchandise Displayers and Window Trimmers,In-Store Marketing Associate,3,27-1026
